,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Message,Error,Encoding,Num Lines,Num Words,Original Format,Mode,Width,Height,Animated,Frames,Num Functions,Num Classes,Num Rows,Num Cols,Num Cells,Empty Cells
47,C:\Users\BLUO\AppData\Local\Temp\mat-debug-14404.log,mat-debug-14404.log,.log,0.0,2024-01-15 21:49:42,2024-01-15 21:49:42,2024-01-15 21:49:42,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-14404.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
48,C:\Users\BLUO\AppData\Local\Temp\mat-debug-1484.log,mat-debug-1484.log,.log,0.0,2024-01-17 16:56:23,2024-01-17 16:56:23,2024-01-17 16:56:23,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-1484.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
49,C:\Users\BLUO\AppData\Local\Temp\mat-debug-14852.log,mat-debug-14852.log,.log,0.0,2024-01-15 19:50:25,2024-01-15 19:50:25,2024-01-15 19:50:25,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-14852.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
50,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15076.log,mat-debug-15076.log,.log,0.0,2024-01-16 16:58:41,2024-01-16 16:58:41,2024-01-16 16:58:41,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15076.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
51,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15144.log,mat-debug-15144.log,.log,0.0,2024-01-16 12:33:27,2024-01-16 12:33:27,2024-01-16 12:33:27,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15144.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
52,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15680.log,mat-debug-15680.log,.log,0.0,2024-01-17 12:57:31,2024-01-17 12:57:31,2024-01-17 12:57:31,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15680.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
53,C:\Users\BLUO\AppData\Local\Temp\mat-debug-1576.log,mat-debug-1576.log,.log,0.0,2024-01-16 18:34:08,2024-01-16 18:34:08,2024-01-16 18:34:08,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-1576.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
54,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15800.log,mat-debug-15800.log,.log,0.0,2024-01-16 18:02:05,2024-01-16 18:02:05,2024-01-16 18:02:05,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-15800.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
55,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17348.log,mat-debug-17348.log,.log,0.0,2024-01-15 17:41:34,2024-01-15 17:41:34,2024-01-15 17:41:34,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17348.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
56,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17472.log,mat-debug-17472.log,.log,0.0,2024-01-12 20:41:26,2024-01-12 20:41:26,2024-01-12 20:41:25,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17472.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
57,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17720.log,mat-debug-17720.log,.log,0.0,2024-01-12 21:15:20,2024-01-12 21:15:20,2024-01-12 21:15:20,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-17720.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
58,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18268.log,mat-debug-18268.log,.log,0.0,2024-01-16 12:42:29,2024-01-16 12:42:29,2024-01-16 12:42:29,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18268.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
59,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18272.log,mat-debug-18272.log,.log,0.0,2024-01-16 20:18:17,2024-01-16 20:18:17,2024-01-16 20:18:17,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18272.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
60,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18400.log,mat-debug-18400.log,.log,0.0,2024-01-12 20:41:36,2024-01-12 20:41:36,2024-01-12 20:41:36,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18400.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
61,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18580.log,mat-debug-18580.log,.log,0.0,2024-01-15 17:59:13,2024-01-15 17:59:13,2024-01-15 17:59:13,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18580.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
62,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18664.log,mat-debug-18664.log,.log,0.0,2024-01-17 17:56:23,2024-01-17 17:56:23,2024-01-17 17:56:23,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18664.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
63,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18684.log,mat-debug-18684.log,.log,0.0,2024-01-15 19:46:24,2024-01-15 19:46:24,2024-01-15 19:46:24,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\mat-debug-18684.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
